field,m,angle,distance,relerr_offset,relerr_abs,mag
phis,0,2.094395,1.000000e-07,2.020556e-16,1.126622e-09,1.152310e+06
phis,0,2.094395,1.778279e-07,1.796556e-16,1.351258e-10,6.479915e+05
phis,0,2.094395,3.162278e-07,4.792169e-16,4.388525e-11,3.643924e+05
phis,0,2.094395,5.623413e-07,0.000000e+00,1.122001e-10,2.049129e+05
phis,0,2.094395,1.000000e-06,1.262847e-16,6.119670e-11,1.152310e+05
phis,0,2.094395,1.778279e-06,2.245695e-16,2.459789e-11,6.479915e+04
phis,0,2.094395,3.162278e-06,1.996737e-16,3.221176e-11,3.643924e+04
phis,0,2.094395,5.623413e-06,3.550756e-16,1.356389e-11,2.049129e+04
phis,0,2.094395,1.000000e-05,6.314236e-16,5.721171e-12,1.152310e+04
phis,0,2.094395,1.778279e-05,1.403559e-16,1.207061e-14,6.479917e+03
phis,0,2.094395,3.162278e-05,0.000000e+00,1.308111e-12,3.643927e+03
phis,0,2.094395,5.623413e-05,2.219220e-16,3.189019e-13,2.049132e+03
phis,0,2.094395,1.000000e-04,1.973194e-16,7.612583e-13,1.152313e+03
phis,0,2.094395,1.778279e-04,3.508884e-16,2.352707e-13,6.479943e+02
phis,0,2.094395,3.162278e-04,0.000000e+00,2.684654e-13,3.643952e+02
phis,0,2.094395,5.623413e-04,2.773990e-16,1.091565e-13,2.049158e+02
phis,0,2.094395,1.000000e-03,2.466437e-16,9.865750e-15,1.152339e+02
phis,0,2.094395,1.778279e-03,2.192965e-16,5.899076e-14,6.480201e+01
phis,0,2.094395,3.162278e-03,0.000000e+00,3.041665e-14,3.644211e+01
phis,0,2.094395,5.623413e-03,5.200574e-16,7.454157e-15,2.049416e+01
phis,0,2.094395,1.000000e-02,3.082354e-16,4.931767e-15,1.152597e+01
phis,0,2.094395,1.778279e-02,1.370054e-16,8.220326e-16,6.482797e+00
phis,0,2.094395,3.162278e-02,4.870976e-16,4.870976e-16,3.646819e+00
phis,0,2.094395,5.623413e-02,2.164129e-16,1.082065e-15,2.052046e+00
phis,0,2.094395,1.000000e-01,1.922022e-16,0.000000e+00,1.155266e+00
phis,0,2.094395,1.778279e-01,5.116084e-16,6.821446e-16,6.510192e-01
phis,0,2.094395,3.162278e-01,1.510289e-16,4.530868e-16,3.675531e-01
phis,0,2.094395,5.623413e-01,3.996905e-16,5.329207e-16,2.083280e-01
phis,0,2.094395,1.000000e+00,3.494057e-16,0.000000e+00,1.191548e-01
phis,0,2.617994,1.000000e-12,0.000000e+00,1.205130e-04,1.963633e+11
phis,0,2.617994,1.778279e-12,4.145538e-16,7.771499e-05,1.104232e+11
phis,0,2.617994,3.162278e-12,3.685963e-16,3.184163e-05,6.209554e+10
phis,0,2.617994,5.623413e-12,0.000000e+00,2.071795e-05,3.491889e+10
phis,0,2.617994,1.000000e-11,1.942673e-16,2.060836e-06,1.963633e+10
phis,0,2.617994,1.778279e-11,3.454615e-16,5.490077e-06,1.104232e+10
phis,0,2.617994,3.162278e-11,1.535818e-16,2.244641e-06,6.209554e+09
phis,0,2.617994,5.623413e-11,1.365557e-16,2.352104e-07,3.491889e+09
phis,0,2.617994,1.000000e-10,1.214171e-16,1.565777e-07,1.963633e+09
phis,0,2.617994,1.778279e-10,0.000000e+00,6.918925e-08,1.104232e+09
phis,0,2.617994,3.162278e-10,1.919772e-16,4.628170e-07,6.209554e+08
phis,0,2.617994,5.623413e-10,8.534729e-16,2.767628e-08,3.491889e+08
phis,0,2.617994,1.000000e-09,0.000000e+00,8.266198e-08,1.963633e+08
phis,0,2.617994,1.778279e-09,0.000000e+00,4.684386e-08,1.104232e+08
phis,0,2.617994,3.162278e-09,0.000000e+00,3.192513e-08,6.209554e+07
phis,0,2.617994,5.623413e-09,4.267364e-16,9.016523e-09,3.491889e+07
phis,0,2.617994,1.000000e-08,1.897142e-16,2.955212e-09,1.963633e+07
phis,0,2.617994,1.778279e-08,1.686824e-16,1.116752e-08,1.104232e+07
phis,0,2.617994,3.162278e-08,2.999644e-16,7.188014e-09,6.209554e+06
phis,0,2.617994,5.623413e-08,0.000000e+00,1.224897e-09,3.491889e+06
phis,0,2.617994,1.000000e-07,0.000000e+00,1.630979e-09,1.963633e+06
phis,0,2.617994,1.778279e-07,4.217060e-16,1.122644e-09,1.104232e+06
phis,0,2.617994,3.162278e-07,3.749555e-16,5.155878e-10,6.209554e+05
phis,0,2.617994,5.623413e-07,0.000000e+00,2.007548e-10,3.491889e+05
phis,0,2.617994,1.000000e-06,1.482142e-16,1.552804e-10,1.963633e+05
phis,0,2.617994,1.778279e-06,1.317831e-16,3.502492e-11,1.104232e+05
phis,0,2.617994,3.162278e-06,0.000000e+00,2.528957e-12,6.209555e+04
phis,0,2.617994,5.623413e-06,4.167347e-16,1.333343e-12,3.491890e+04
phis,0,2.617994,1.000000e-05,0.000000e+00,4.679676e-12,1.963634e+04
phis,0,2.617994,1.778279e-05,1.647288e-16,3.505593e-12,1.104233e+04
phis,0,2.617994,3.162278e-05,1.464668e-16,2.145153e-12,6.209562e+03
phis,0,2.617994,5.623413e-05,3.906880e-16,1.021649e-12,3.491897e+03
phis,0,2.617994,1.000000e-04,4.631674e-16,1.877449e-12,1.963641e+03
phis,0,2.617994,1.778279e-04,2.059096e-16,9.801297e-13,1.104240e+03
phis,0,2.617994,3.162278e-04,1.830813e-16,3.246032e-13,6.209635e+02
phis,0,2.617994,5.623413e-04,0.000000e+00,1.292499e-13,3.491970e+02
phis,0,2.617994,1.000000e-03,2.894688e-16,1.150638e-13,1.963715e+02
phis,0,2.617994,1.778279e-03,2.573699e-16,1.750115e-14,1.104314e+02
phis,0,2.617994,3.162278e-03,2.288246e-16,1.658978e-14,6.210370e+01
phis,0,2.617994,5.623413e-03,2.034362e-16,2.685358e-14,3.492705e+01
phis,0,2.617994,1.000000e-02,1.808503e-16,2.242543e-14,1.964450e+01
phis,0,2.617994,1.778279e-02,6.429961e-16,9.001946e-15,1.105050e+01
phis,0,2.617994,3.162278e-02,2.856915e-16,3.713990e-15,6.217744e+00
phis,0,2.617994,5.623413e-02,0.000000e+00,2.410699e-15,3.500103e+00
phis,0,2.617994,1.000000e-01,3.378146e-16,7.882340e-16,1.971892e+00
phis,0,2.617994,1.778279e-01,1.995779e-16,3.991557e-16,1.112571e+00
phis,0,2.617994,3.162278e-01,1.763815e-16,5.291445e-16,6.294441e-01
phis,0,2.617994,5.623413e-01,4.652235e-16,3.101490e-16,3.579644e-01
phis,0,2.617994,1.000000e+00,1.349227e-16,1.349227e-16,2.057146e-01
phis,0,3.141593,1.000000e-12,1.362660e-16,8.889268e-05,8.958236e+11
phis,0,3.141593,1.778279e-12,2.423190e-16,8.222882e-05,5.037587e+11
phis,0,3.141593,3.162278e-12,2.154555e-16,1.146413e-04,2.832843e+11
phis,0,3.141593,5.623413e-12,0.000000e+00,9.468470e-05,1.593025e+11
phis,0,3.141593,1.000000e-11,5.109975e-16,8.874298e-05,8.958236e+10
phis,0,3.141593,1.778279e-11,3.028988e-16,1.766951e-05,5.037587e+10
phis,0,3.141593,3.162278e-11,1.346597e-16,2.281484e-06,2.832843e+10
phis,0,3.141593,5.623413e-11,2.394625e-16,7.209396e-08,1.593025e+10
phis,0,3.141593,1.000000e-10,2.129156e-16,8.274036e-08,8.958236e+09
phis,0,3.141593,1.778279e-10,1.893117e-16,2.308558e-06,5.037587e+09
phis,0,3.141593,3.162278e-10,1.683246e-16,2.281484e-06,2.832843e+09
phis,0,3.141593,5.623413e-10,2.993282e-16,7.209396e-08,1.593025e+09
phis,0,3.141593,1.000000e-09,5.322891e-16,8.274036e-08,8.958236e+08
phis,0,3.141593,1.778279e-09,1.183198e-16,3.107153e-07,5.037587e+08
phis,0,3.141593,3.162278e-09,2.104057e-16,3.454494e-08,2.832843e+08
phis,0,3.141593,5.623413e-09,3.741602e-16,7.209396e-08,1.593025e+08
phis,0,3.141593,1.000000e-08,4.990210e-16,8.274036e-08,8.958236e+07
phis,0,3.141593,1.778279e-08,4.436994e-16,1.103954e-08,5.037587e+07
phis,0,3.141593,3.162278e-08,0.000000e+00,2.162839e-08,2.832843e+07
phis,0,3.141593,5.623413e-08,0.000000e+00,8.916782e-09,1.593025e+07
phis,0,3.141593,1.000000e-07,2.079254e-16,6.077471e-09,8.958236e+06
phis,0,3.141593,1.778279e-07,0.000000e+00,1.050353e-09,5.037587e+06
phis,0,3.141593,3.162278e-07,1.643795e-16,8.409401e-10,2.832843e+06
phis,0,3.141593,5.623413e-07,2.923127e-16,5.597942e-10,1.593025e+06
phis,0,3.141593,1.000000e-06,0.000000e+00,7.484011e-10,8.958236e+05
phis,0,3.141593,1.778279e-06,0.000000e+00,5.143412e-11,5.037586e+05
phis,0,3.141593,3.162278e-06,4.109487e-16,2.792068e-10,2.832843e+05
phis,0,3.141593,5.623413e-06,3.653908e-16,7.197743e-11,1.593025e+05
phis,0,3.141593,1.000000e-05,4.873253e-16,3.785786e-11,8.958236e+04
phis,0,3.141593,1.778279e-05,1.444334e-16,4.845756e-11,5.037586e+04
phis,0,3.141593,3.162278e-05,5.136860e-16,1.659719e-12,2.832843e+04
phis,0,3.141593,5.623413e-05,5.709233e-16,8.799984e-12,1.593024e+04
phis,0,3.141593,1.000000e-04,2.030523e-16,2.330634e-12,8.958231e+03
phis,0,3.141593,1.778279e-04,5.416258e-16,1.488388e-12,5.037581e+03
phis,0,3.141593,3.162278e-04,0.000000e+00,1.659690e-12,2.832838e+03
